Date,Mean_Daily_CO_Concentration,UNITS,AQS_PARAMETER_DESC,STATE_CODE,STATE
2013-01-01,0.3,ppm,Carbon monoxide,36,New York
2013-01-02,0.37142857142857144,ppm,Carbon monoxide,36,New York
2013-01-03,0.41428571428571426,ppm,Carbon monoxide,36,New York
2013-01-04,0.39999999999999997,ppm,Carbon monoxide,36,New York
2013-01-05,0.41428571428571426,ppm,Carbon monoxide,36,New York
2013-01-06,0.42857142857142855,ppm,Carbon monoxide,36,New York
2013-01-07,0.4571428571428572,ppm,Carbon monoxide,36,New York
2013-01-08,0.6166666666666667,ppm,Carbon monoxide,36,New York
2013-01-09,0.9166666666666666,ppm,Carbon monoxide,36,New York
2013-01-10,0.2833333333333334,ppm,Carbon monoxide,36,New York
2013-01-11,0.45,ppm,Carbon monoxide,36,New York
2013-01-12,0.4000000000000001,ppm,Carbon monoxide,36,New York
2013-01-13,0.4666666666666666,ppm,Carbon monoxide,36,New York
2013-01-14,0.4857142857142857,ppm,Carbon monoxide,36,New York
2013-01-15,0.34285714285714286,ppm,Carbon monoxide,36,New York
2013-01-16,0.45714285714285713,ppm,Carbon monoxide,36,New York
2013-01-17,0.42857142857142855,ppm,Carbon monoxide,36,New York
2013-01-18,0.3,ppm,Carbon monoxide,36,New York
2013-01-19,0.34285714285714286,ppm,Carbon monoxide,36,New York
2013-01-20,0.3285714285714286,ppm,Carbon monoxide,36,New York
2013-01-21,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-01-22,0.34285714285714286,ppm,Carbon monoxide,36,New York
2013-01-23,0.38571428571428573,ppm,Carbon monoxide,36,New York
2013-01-24,0.4571428571428572,ppm,Carbon monoxide,36,New York
2013-01-25,0.5285714285714286,ppm,Carbon monoxide,36,New York
2013-01-26,0.41428571428571426,ppm,Carbon monoxide,36,New York
2013-01-27,0.4428571428571429,ppm,Carbon monoxide,36,New York
2013-01-28,0.5,ppm,Carbon monoxide,36,New York
2013-01-29,0.6,ppm,Carbon monoxide,36,New York
2013-01-30,0.4714285714285714,ppm,Carbon monoxide,36,New York
2013-01-31,0.24285714285714285,ppm,Carbon monoxide,36,New York
2013-02-01,0.21428571428571427,ppm,Carbon monoxide,36,New York
2013-02-02,0.3333333333333333,ppm,Carbon monoxide,36,New York
2013-02-03,0.45,ppm,Carbon monoxide,36,New York
2013-02-04,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-02-05,0.39999999999999997,ppm,Carbon monoxide,36,New York
2013-02-06,0.4428571428571429,ppm,Carbon monoxide,36,New York
2013-02-07,0.41428571428571426,ppm,Carbon monoxide,36,New York
2013-02-08,0.4,ppm,Carbon monoxide,36,New York
2013-02-09,0.4,ppm,Carbon monoxide,36,New York
2013-02-10,0.5714285714285714,ppm,Carbon monoxide,36,New York
2013-02-11,0.7285714285714286,ppm,Carbon monoxide,36,New York
2013-02-12,0.4857142857142857,ppm,Carbon monoxide,36,New York
2013-02-13,0.39999999999999997,ppm,Carbon monoxide,36,New York
2013-02-14,0.43333333333333335,ppm,Carbon monoxide,36,New York
2013-02-15,0.43333333333333335,ppm,Carbon monoxide,36,New York
2013-02-16,0.3666666666666667,ppm,Carbon monoxide,36,New York
2013-02-17,0.31666666666666665,ppm,Carbon monoxide,36,New York
2013-02-18,0.4166666666666667,ppm,Carbon monoxide,36,New York
2013-02-19,0.48333333333333334,ppm,Carbon monoxide,36,New York
2013-02-20,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-02-21,0.3,ppm,Carbon monoxide,36,New York
2013-02-22,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-02-23,0.37142857142857144,ppm,Carbon monoxide,36,New York
2013-02-24,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-02-25,0.4428571428571429,ppm,Carbon monoxide,36,New York
2013-02-26,0.5142857142857143,ppm,Carbon monoxide,36,New York
2013-02-27,0.41428571428571426,ppm,Carbon monoxide,36,New York
2013-02-28,0.41428571428571426,ppm,Carbon monoxide,36,New York
2013-03-01,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-03-02,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-03-03,0.27142857142857146,ppm,Carbon monoxide,36,New York
2013-03-04,0.27142857142857146,ppm,Carbon monoxide,36,New York
2013-03-05,0.3,ppm,Carbon monoxide,36,New York
2013-03-06,0.27142857142857146,ppm,Carbon monoxide,36,New York
2013-03-07,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-03-08,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-03-09,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-03-10,0.38571428571428573,ppm,Carbon monoxide,36,New York
2013-03-11,0.3,ppm,Carbon monoxide,36,New York
2013-03-12,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-03-13,0.24285714285714285,ppm,Carbon monoxide,36,New York
2013-03-14,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-03-15,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-03-16,0.31428571428571433,ppm,Carbon monoxide,36,New York
2013-03-17,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-03-18,0.31428571428571433,ppm,Carbon monoxide,36,New York
2013-03-19,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-03-20,0.2714285714285714,ppm,Carbon monoxide,36,New York
2013-03-21,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-03-22,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-03-23,0.2,ppm,Carbon monoxide,36,New York
2013-03-24,0.27142857142857146,ppm,Carbon monoxide,36,New York
2013-03-25,0.24285714285714285,ppm,Carbon monoxide,36,New York
2013-03-26,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-03-27,0.19999999999999998,ppm,Carbon monoxide,36,New York
2013-03-28,0.2,ppm,Carbon monoxide,36,New York
2013-03-29,0.19999999999999998,ppm,Carbon monoxide,36,New York
2013-03-30,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-03-31,0.4714285714285714,ppm,Carbon monoxide,36,New York
2013-04-01,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-04-02,0.21428571428571427,ppm,Carbon monoxide,36,New York
2013-04-03,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-04-04,0.31428571428571433,ppm,Carbon monoxide,36,New York
2013-04-05,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-04-06,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-04-07,0.3,ppm,Carbon monoxide,36,New York
2013-04-08,0.4428571428571429,ppm,Carbon monoxide,36,New York
2013-04-09,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-04-10,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-04-11,0.37142857142857144,ppm,Carbon monoxide,36,New York
2013-04-12,0.31428571428571433,ppm,Carbon monoxide,36,New York
2013-04-13,0.39999999999999997,ppm,Carbon monoxide,36,New York
2013-04-14,0.3833333333333333,ppm,Carbon monoxide,36,New York
2013-04-15,0.3333333333333333,ppm,Carbon monoxide,36,New York
2013-04-16,0.3,ppm,Carbon monoxide,36,New York
2013-04-17,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-04-18,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-04-19,0.2714285714285714,ppm,Carbon monoxide,36,New York
2013-04-20,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-04-21,0.2714285714285714,ppm,Carbon monoxide,36,New York
2013-04-22,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-04-23,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-04-24,0.2714285714285714,ppm,Carbon monoxide,36,New York
2013-04-25,0.24285714285714288,ppm,Carbon monoxide,36,New York
2013-04-26,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-04-27,0.24285714285714288,ppm,Carbon monoxide,36,New York
2013-04-28,0.3,ppm,Carbon monoxide,36,New York
2013-04-29,0.21428571428571427,ppm,Carbon monoxide,36,New York
2013-04-30,0.2,ppm,Carbon monoxide,36,New York
2013-05-01,0.24285714285714288,ppm,Carbon monoxide,36,New York
2013-05-02,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-05-03,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-05-04,0.19999999999999998,ppm,Carbon monoxide,36,New York
2013-05-05,0.2,ppm,Carbon monoxide,36,New York
2013-05-06,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-05-07,0.2571428571428572,ppm,Carbon monoxide,36,New York
2013-05-08,0.2285714285714286,ppm,Carbon monoxide,36,New York
2013-05-09,0.37142857142857144,ppm,Carbon monoxide,36,New York
2013-05-10,0.42857142857142855,ppm,Carbon monoxide,36,New York
2013-05-11,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-05-12,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-05-13,0.18571428571428572,ppm,Carbon monoxide,36,New York
2013-05-14,0.24285714285714288,ppm,Carbon monoxide,36,New York
2013-05-15,0.31428571428571433,ppm,Carbon monoxide,36,New York
2013-05-16,0.35714285714285715,ppm,Carbon monoxide,36,New York
2013-05-17,0.32857142857142857,ppm,Carbon monoxide,36,New York
2013-05-18,0.4428571428571429,ppm,Carbon monoxide,36,New York
2013-05-19,0.2857142857142857,ppm,Carbon monoxide,36,New York
2013-05-20,0.4571428571428572,ppm,Carbon monoxide,36,New York
2013-05-21,0.4571428571428572,ppm,Carbon monoxide,36,New York
