date_local,parameter,Mean(NO2)Daily,units_of_measure,Mean(AQI),state,state_code
2013-01-01,Nitrogen dioxide (NO2),13.802083249999999,Parts per billion,19.25,New York,36
2013-01-02,Nitrogen dioxide (NO2),15.7691965,Parts per billion,23.5,New York,36
2013-01-03,Nitrogen dioxide (NO2),22.07400825,Parts per billion,32.25,New York,36
2013-01-04,Nitrogen dioxide (NO2),17.8891666,Parts per billion,23.6,New York,36
2013-01-05,Nitrogen dioxide (NO2),17.2758336,Parts per billion,30.2,New York,36
2013-01-06,Nitrogen dioxide (NO2),19.151667,Parts per billion,26.4,New York,36
2013-01-07,Nitrogen dioxide (NO2),19.3322828,Parts per billion,34.6,New York,36
2013-01-08,Nitrogen dioxide (NO2),27.075,Parts per billion,34.0,New York,36
2013-01-09,Nitrogen dioxide (NO2),31.8825,Parts per billion,61.2,New York,36
2013-01-10,Nitrogen dioxide (NO2),19.040657799999998,Parts per billion,33.2,New York,36
2013-01-11,Nitrogen dioxide (NO2),23.898333400000002,Parts per billion,29.6,New York,36
2013-01-12,Nitrogen dioxide (NO2),16.8825,Parts per billion,26.0,New York,36
2013-01-13,Nitrogen dioxide (NO2),21.4066666,Parts per billion,27.6,New York,36
2013-01-14,Nitrogen dioxide (NO2),16.7514392,Parts per billion,24.4,New York,36
2013-01-15,Nitrogen dioxide (NO2),13.435833400000002,Parts per billion,19.2,New York,36
2013-01-16,Nitrogen dioxide (NO2),18.0511364,Parts per billion,23.6,New York,36
2013-01-17,Nitrogen dioxide (NO2),15.246733800000001,Parts per billion,21.2,New York,36
2013-01-18,Nitrogen dioxide (NO2),13.4225,Parts per billion,23.0,New York,36
2013-01-19,Nitrogen dioxide (NO2),15.029166800000002,Parts per billion,24.0,New York,36
2013-01-20,Nitrogen dioxide (NO2),10.0133334,Parts per billion,16.4,New York,36
2013-01-21,Nitrogen dioxide (NO2),15.8224998,Parts per billion,24.6,New York,36
2013-01-22,Nitrogen dioxide (NO2),11.014456599999999,Parts per billion,15.6,New York,36
2013-01-23,Nitrogen dioxide (NO2),14.4283334,Parts per billion,24.2,New York,36
2013-01-24,Nitrogen dioxide (NO2),19.872381,Parts per billion,30.4,New York,36
2013-01-25,Nitrogen dioxide (NO2),24.6962498,Parts per billion,36.4,New York,36
2013-01-26,Nitrogen dioxide (NO2),17.5841666,Parts per billion,28.6,New York,36
2013-01-27,Nitrogen dioxide (NO2),19.2916668,Parts per billion,32.4,New York,36
2013-01-28,Nitrogen dioxide (NO2),26.414166599999998,Parts per billion,38.6,New York,36
2013-01-29,Nitrogen dioxide (NO2),23.199848600000003,Parts per billion,29.4,New York,36
2013-01-30,Nitrogen dioxide (NO2),20.1388042,Parts per billion,33.4,New York,36
2013-01-31,Nitrogen dioxide (NO2),7.9483332,Parts per billion,12.4,New York,36
2013-02-01,Nitrogen dioxide (NO2),11.633293599999998,Parts per billion,17.2,New York,36
2013-02-02,Nitrogen dioxide (NO2),15.204166599999999,Parts per billion,24.0,New York,36
2013-02-03,Nitrogen dioxide (NO2),22.3483334,Parts per billion,30.6,New York,36
2013-02-04,Nitrogen dioxide (NO2),15.630471,Parts per billion,26.2,New York,36
2013-02-05,Nitrogen dioxide (NO2),21.7083332,Parts per billion,30.4,New York,36
2013-02-06,Nitrogen dioxide (NO2),16.9730952,Parts per billion,23.4,New York,36
2013-02-07,Nitrogen dioxide (NO2),21.802083250000003,Parts per billion,31.5,New York,36
2013-02-08,Nitrogen dioxide (NO2),14.242708499999999,Parts per billion,21.0,New York,36
2013-02-09,Nitrogen dioxide (NO2),12.746875000000001,Parts per billion,17.75,New York,36
2013-02-10,Nitrogen dioxide (NO2),28.00625,Parts per billion,45.0,New York,36
2013-02-11,Nitrogen dioxide (NO2),39.858996,Parts per billion,52.5,New York,36
2013-02-12,Nitrogen dioxide (NO2),16.571875,Parts per billion,25.5,New York,36
2013-02-13,Nitrogen dioxide (NO2),27.66562475,Parts per billion,37.75,New York,36
2013-02-14,Nitrogen dioxide (NO2),24.064881,Parts per billion,35.25,New York,36
2013-02-15,Nitrogen dioxide (NO2),27.58878675,Parts per billion,38.75,New York,36
2013-02-16,Nitrogen dioxide (NO2),11.96249975,Parts per billion,17.5,New York,36
2013-02-17,Nitrogen dioxide (NO2),8.09374975,Parts per billion,12.25,New York,36
2013-02-18,Nitrogen dioxide (NO2),15.5125,Parts per billion,32.5,New York,36
2013-02-19,Nitrogen dioxide (NO2),25.804801,Parts per billion,38.25,New York,36
2013-02-20,Nitrogen dioxide (NO2),11.56041675,Parts per billion,18.5,New York,36
2013-02-21,Nitrogen dioxide (NO2),11.329386249999999,Parts per billion,15.5,New York,36
2013-02-22,Nitrogen dioxide (NO2),16.838816,Parts per billion,25.75,New York,36
2013-02-23,Nitrogen dioxide (NO2),15.760416750000001,Parts per billion,21.75,New York,36
2013-02-24,Nitrogen dioxide (NO2),12.71874975,Parts per billion,19.0,New York,36
2013-02-25,Nitrogen dioxide (NO2),20.9421032,Parts per billion,33.2,New York,36
2013-02-26,Nitrogen dioxide (NO2),20.027499799999998,Parts per billion,36.4,New York,36
2013-02-27,Nitrogen dioxide (NO2),15.401666599999999,Parts per billion,31.6,New York,36
2013-02-28,Nitrogen dioxide (NO2),19.1756684,Parts per billion,28.4,New York,36
2013-03-01,Nitrogen dioxide (NO2),14.0391664,Parts per billion,21.6,New York,36
2013-03-02,Nitrogen dioxide (NO2),9.9833332,Parts per billion,13.8,New York,36
2013-03-03,Nitrogen dioxide (NO2),8.105833200000001,Parts per billion,10.6,New York,36
2013-03-04,Nitrogen dioxide (NO2),9.7494924,Parts per billion,14.2,New York,36
2013-03-05,Nitrogen dioxide (NO2),15.217368399999998,Parts per billion,33.6,New York,36
2013-03-06,Nitrogen dioxide (NO2),11.3783332,Parts per billion,22.6,New York,36
2013-03-07,Nitrogen dioxide (NO2),12.939951000000002,Parts per billion,21.2,New York,36
2013-03-08,Nitrogen dioxide (NO2),14.2166666,Parts per billion,23.4,New York,36
2013-03-09,Nitrogen dioxide (NO2),17.59,Parts per billion,41.0,New York,36
2013-03-10,Nitrogen dioxide (NO2),18.2763768,Parts per billion,36.2,New York,36
2013-03-11,Nitrogen dioxide (NO2),16.759318200000003,Parts per billion,32.4,New York,36
2013-03-12,Nitrogen dioxide (NO2),12.4683334,Parts per billion,24.4,New York,36
2013-03-13,Nitrogen dioxide (NO2),14.94479175,Parts per billion,23.75,New York,36
2013-03-14,Nitrogen dioxide (NO2),8.6920238,Parts per billion,14.8,New York,36
2013-03-15,Nitrogen dioxide (NO2),14.6033334,Parts per billion,21.4,New York,36
2013-03-16,Nitrogen dioxide (NO2),15.261666600000002,Parts per billion,26.0,New York,36
2013-03-17,Nitrogen dioxide (NO2),12.1125,Parts per billion,20.8,New York,36
2013-03-18,Nitrogen dioxide (NO2),13.286724800000002,Parts per billion,23.8,New York,36
2013-03-19,Nitrogen dioxide (NO2),13.628333399999999,Parts per billion,28.0,New York,36
2013-03-20,Nitrogen dioxide (NO2),13.7898012,Parts per billion,22.2,New York,36
2013-03-21,Nitrogen dioxide (NO2),11.9175,Parts per billion,17.2,New York,36
2013-03-22,Nitrogen dioxide (NO2),12.362619200000001,Parts per billion,20.6,New York,36
2013-03-23,Nitrogen dioxide (NO2),11.54479175,Parts per billion,23.0,New York,36
2013-03-24,Nitrogen dioxide (NO2),15.94166675,Parts per billion,35.75,New York,36
2013-03-25,Nitrogen dioxide (NO2),16.650520750000002,Parts per billion,29.25,New York,36
2013-03-26,Nitrogen dioxide (NO2),22.18705375,Parts per billion,37.75,New York,36
2013-03-27,Nitrogen dioxide (NO2),14.720312499999999,Parts per billion,28.75,New York,36
2013-03-28,Nitrogen dioxide (NO2),14.2673115,Parts per billion,24.75,New York,36
2013-03-29,Nitrogen dioxide (NO2),11.4321514,Parts per billion,19.8,New York,36
2013-03-30,Nitrogen dioxide (NO2),18.3808332,Parts per billion,45.2,New York,36
2013-03-31,Nitrogen dioxide (NO2),18.9341666,Parts per billion,38.0,New York,36
2013-04-01,Nitrogen dioxide (NO2),12.312753599999999,Parts per billion,23.2,New York,36
2013-04-02,Nitrogen dioxide (NO2),9.1113334,Parts per billion,14.8,New York,36
