date_local,parameter,Mean(NO2)Daily,units_of_measure,Mean(AQI),state,state_code
2013-01-01,PM2.5 - Local Conditions,8.3,Micrograms/cubic meter (LC),34.22222222222222,New York,36
2013-01-02,PM2.5 - Local Conditions,5.5,Micrograms/cubic meter (LC),23.0,New York,36
2013-01-03,PM2.5 - Local Conditions,13.0,Micrograms/cubic meter (LC),53.0,New York,36
2013-01-04,PM2.5 - Local Conditions,13.25,Micrograms/cubic meter (LC),51.111111111111114,New York,36
2013-01-05,PM2.5 - Local Conditions,11.0,Micrograms/cubic meter (LC),46.0,New York,36
2013-01-06,PM2.5 - Local Conditions,20.3,Micrograms/cubic meter (LC),68.0,New York,36
2013-01-07,PM2.5 - Local Conditions,11.1,Micrograms/cubic meter (LC),45.5625,New York,36
2013-01-08,PM2.5 - Local Conditions,19.8,Micrograms/cubic meter (LC),67.0,New York,36
2013-01-09,PM2.5 - Local Conditions,26.6,Micrograms/cubic meter (LC),81.0,New York,36
2013-01-10,PM2.5 - Local Conditions,5.12,Micrograms/cubic meter (LC),21.45,New York,36
2013-01-11,PM2.5 - Local Conditions,6.3,Micrograms/cubic meter (LC),26.0,New York,36
2013-01-12,PM2.5 - Local Conditions,5.7,Micrograms/cubic meter (LC),24.0,New York,36
2013-01-13,PM2.5 - Local Conditions,10.389473684210527,Micrograms/cubic meter (LC),40.89473684210526,New York,36
2013-01-14,PM2.5 - Local Conditions,7.2,Micrograms/cubic meter (LC),30.0,New York,36
2013-01-15,PM2.5 - Local Conditions,7.4,Micrograms/cubic meter (LC),31.0,New York,36
2013-01-16,PM2.5 - Local Conditions,11.070588235294117,Micrograms/cubic meter (LC),44.411764705882355,New York,36
2013-01-17,PM2.5 - Local Conditions,10.0,Micrograms/cubic meter (LC),42.0,New York,36
2013-01-18,PM2.5 - Local Conditions,4.0,Micrograms/cubic meter (LC),17.0,New York,36
2013-01-19,PM2.5 - Local Conditions,5.725,Micrograms/cubic meter (LC),23.8,New York,36
2013-01-20,PM2.5 - Local Conditions,5.5,Micrograms/cubic meter (LC),23.0,New York,36
2013-01-21,PM2.5 - Local Conditions,7.1,Micrograms/cubic meter (LC),30.0,New York,36
2013-01-22,PM2.5 - Local Conditions,5.3999999999999995,Micrograms/cubic meter (LC),22.42105263157895,New York,36
2013-01-23,PM2.5 - Local Conditions,7.0,Micrograms/cubic meter (LC),29.0,New York,36
2013-01-24,PM2.5 - Local Conditions,8.6,Micrograms/cubic meter (LC),36.0,New York,36
2013-01-25,PM2.5 - Local Conditions,9.65,Micrograms/cubic meter (LC),39.25,New York,36
2013-01-26,PM2.5 - Local Conditions,11.5,Micrograms/cubic meter (LC),48.0,New York,36
2013-01-27,PM2.5 - Local Conditions,14.0,Micrograms/cubic meter (LC),55.0,New York,36
2013-01-28,PM2.5 - Local Conditions,20.294444444444444,Micrograms/cubic meter (LC),67.0,New York,36
2013-01-29,PM2.5 - Local Conditions,29.2,Micrograms/cubic meter (LC),87.0,New York,36
2013-01-30,PM2.5 - Local Conditions,15.3,Micrograms/cubic meter (LC),58.0,New York,36
2013-01-31,PM2.5 - Local Conditions,3.05,Micrograms/cubic meter (LC),12.722222222222221,New York,36
2013-02-01,PM2.5 - Local Conditions,3.7,Micrograms/cubic meter (LC),15.0,New York,36
2013-02-02,PM2.5 - Local Conditions,10.4,Micrograms/cubic meter (LC),43.0,New York,36
2013-02-03,PM2.5 - Local Conditions,16.327777777777776,Micrograms/cubic meter (LC),58.77777777777778,New York,36
2013-02-04,PM2.5 - Local Conditions,11.0,Micrograms/cubic meter (LC),46.0,New York,36
2013-02-05,PM2.5 - Local Conditions,20.0,Micrograms/cubic meter (LC),68.0,New York,36
2013-02-06,PM2.5 - Local Conditions,15.194117647058825,Micrograms/cubic meter (LC),55.294117647058826,New York,36
2013-02-07,PM2.5 - Local Conditions,5.7,Micrograms/cubic meter (LC),24.0,New York,36
2013-02-08,PM2.5 - Local Conditions,3.5,Micrograms/cubic meter (LC),15.0,New York,36
2013-02-09,PM2.5 - Local Conditions,4.8,Micrograms/cubic meter (LC),20.105263157894736,New York,36
2013-02-10,PM2.5 - Local Conditions,11.4,Micrograms/cubic meter (LC),48.0,New York,36
2013-02-11,PM2.5 - Local Conditions,10.8,Micrograms/cubic meter (LC),45.0,New York,36
2013-02-12,PM2.5 - Local Conditions,7.7,Micrograms/cubic meter (LC),32.0625,New York,36
2013-02-13,PM2.5 - Local Conditions,13.4,Micrograms/cubic meter (LC),54.0,New York,36
2013-02-14,PM2.5 - Local Conditions,11.75,Micrograms/cubic meter (LC),49.0,New York,36
2013-02-15,PM2.5 - Local Conditions,14.299999999999999,Micrograms/cubic meter (LC),49.705882352941174,New York,36
2013-02-16,PM2.5 - Local Conditions,7.121052631578948,Micrograms/cubic meter (LC),29.736842105263158,New York,36
2013-02-17,PM2.5 - Local Conditions,6.15,Micrograms/cubic meter (LC),25.5,New York,36
2013-02-18,PM2.5 - Local Conditions,5.193333333333333,Micrograms/cubic meter (LC),21.6,New York,36
2013-02-19,PM2.5 - Local Conditions,21.0,Micrograms/cubic meter (LC),68.52380952380952,New York,36
2013-02-20,PM2.5 - Local Conditions,6.5,Micrograms/cubic meter (LC),27.0,New York,36
2013-02-21,PM2.5 - Local Conditions,4.652941176470588,Micrograms/cubic meter (LC),19.352941176470587,New York,36
2013-02-22,PM2.5 - Local Conditions,4.7,Micrograms/cubic meter (LC),20.0,New York,36
2013-02-23,PM2.5 - Local Conditions,2.9,Micrograms/cubic meter (LC),12.0,New York,36
2013-02-24,PM2.5 - Local Conditions,9.686666666666667,Micrograms/cubic meter (LC),39.46666666666667,New York,36
2013-02-25,PM2.5 - Local Conditions,9.8,Micrograms/cubic meter (LC),41.0,New York,36
2013-02-26,PM2.5 - Local Conditions,9.7,Micrograms/cubic meter (LC),40.0,New York,36
2013-02-27,PM2.5 - Local Conditions,4.911764705882353,Micrograms/cubic meter (LC),19.647058823529413,New York,36
2013-02-28,PM2.5 - Local Conditions,6.9375,Micrograms/cubic meter (LC),29.0,New York,36
2013-03-01,PM2.5 - Local Conditions,6.6,Micrograms/cubic meter (LC),28.0,New York,36
2013-03-02,PM2.5 - Local Conditions,3.884210526315789,Micrograms/cubic meter (LC),16.31578947368421,New York,36
2013-03-03,PM2.5 - Local Conditions,3.7,Micrograms/cubic meter (LC),15.0,New York,36
2013-03-04,PM2.5 - Local Conditions,5.2,Micrograms/cubic meter (LC),22.0,New York,36
2013-03-05,PM2.5 - Local Conditions,5.541176470588235,Micrograms/cubic meter (LC),23.058823529411764,New York,36
2013-03-06,PM2.5 - Local Conditions,3.4,Micrograms/cubic meter (LC),14.0,New York,36
2013-03-07,PM2.5 - Local Conditions,2.7,Micrograms/cubic meter (LC),11.0,New York,36
2013-03-08,PM2.5 - Local Conditions,4.605263157894737,Micrograms/cubic meter (LC),19.263157894736842,New York,36
2013-03-09,PM2.5 - Local Conditions,6.0,Micrograms/cubic meter (LC),25.0,New York,36
2013-03-10,PM2.5 - Local Conditions,8.3,Micrograms/cubic meter (LC),35.0,New York,36
2013-03-11,PM2.5 - Local Conditions,6.052631578947368,Micrograms/cubic meter (LC),25.210526315789473,New York,36
2013-03-12,PM2.5 - Local Conditions,3.9,Micrograms/cubic meter (LC),16.0,New York,36
2013-03-13,PM2.5 - Local Conditions,5.7,Micrograms/cubic meter (LC),24.0,New York,36
