"","license_class","trips_per_day","farebox_per_day","unique_drivers","unique_vehicles","vehicles_per_day","avg_days_vehicles_on_road","avg_hours_per_day_per_vehicle","avg_days_drivers_on_road","avg_hours_per_day_per_driver","avg_minutes_per_trip","percent_of_trips_paid_with_credit_card","trips_per_day_shared","month_year","month_year1","trips_per_month","month_date","farebox_per_month","week","trips_per_week","year","farebox_per_week","total_trips_per_day","shared_trips_per_day_percent"
"1","FHV - Black Car",19294,NA,7556,6723,3088,13.8,4.8,13.3,4.5,28,NA,NA,"2023-09",Sep 2023,578820,2023-09-28,NA,"39",135058,"2023",NA,NA,NA
"2","FHV - Black Car",21358,NA,7507,6682,3143,14.6,5.2,14,4.9,27,NA,NA,"2023-08",Aug 2023,662098,2023-08-28,NA,"35",149506,"2023",NA,NA,NA
"3","FHV - Black Car",17464,NA,7352,6568,2842,13.4,4.7,12.9,4.4,25,NA,NA,"2023-07",Jul 2023,541384,2023-07-28,NA,"30",122248,"2023",NA,NA,NA
"4","FHV - Black Car",17742,NA,7183,6449,2899,13.5,4.7,13,4.4,26,NA,NA,"2023-06",Jun 2023,532260,2023-06-28,NA,"26",124194,"2023",NA,NA,NA
"5","FHV - Black Car",21770,NA,7508,6844,3318,15,5,14.6,4.7,29,NA,NA,"2023-05",May 2023,674870,2023-05-28,NA,"21",152390,"2023",NA,NA,NA
"6","FHV - Black Car",20381,NA,7401,6846,3185,14,4.9,13.7,4.7,28,NA,NA,"2023-04",Apr 2023,611430,2023-04-28,NA,"17",142667,"2023",NA,NA,NA
"7","FHV - Black Car",21445,NA,7597,7102,3433,15,4.8,14.7,4.6,28,NA,NA,"2023-03",Mar 2023,664795,2023-03-28,NA,"13",150115,"2023",NA,NA,NA
"8","FHV - Black Car",19630,NA,7279,6846,3208,13.1,4.7,12.9,4.5,27,NA,NA,"2023-02",Feb 2023,549640,2023-02-28,NA,"09",137410,"2023",NA,NA,NA
"9","FHV - Black Car",16286,NA,7291,6903,2925,13.1,4.3,12.9,4.2,25,NA,NA,"2023-01",Jan 2023,504866,2023-01-28,NA,"04",114002,"2023",NA,NA,NA
"10","FHV - Black Car",20152,NA,8044,7743,3307,13.2,4.6,13,4.5,28,NA,NA,"2022-12",Dec 2022,624712,2022-12-28,NA,"52",141064,"2022",NA,NA,NA
"11","FHV - Black Car",17581,NA,7444,7394,3250,13.2,4.2,13.2,4.2,30,NA,NA,"2022-11",Nov 2022,527430,2022-11-28,NA,"48",123067,"2022",NA,NA,NA
"12","FHV - Black Car",17377,NA,7498,7165,3169,13.7,4.3,13.4,4.2,30,NA,NA,"2022-10",Oct 2022,538687,2022-10-28,NA,"43",121639,"2022",NA,NA,NA
"13","FHV - Black Car",17606,NA,7330,7084,3117,13.2,4.3,13.1,4.2,29,NA,NA,"2022-09",Sep 2022,528180,2022-09-28,NA,"39",123242,"2022",NA,NA,NA
"14","FHV - Black Car",15140,NA,6892,6610,2838,13.3,4.1,13.2,4,26,NA,NA,"2022-08",Aug 2022,469340,2022-08-28,NA,"34",105980,"2022",NA,NA,NA
"15","FHV - Black Car",15715,NA,7522,7248,2954,12.6,4.1,12.5,4,25,NA,NA,"2022-07",Jul 2022,487165,2022-07-28,NA,"30",110005,"2022",NA,NA,NA
"16","FHV - Black Car",17040,NA,7242,7031,3150,13.4,4.1,13.3,4,28,NA,NA,"2022-06",Jun 2022,511200,2022-06-28,NA,"26",119280,"2022",NA,NA,NA
"17","FHV - Black Car",16527,NA,7361,7202,3029,13,4.1,13,4.1,28,NA,NA,"2022-05",May 2022,512337,2022-05-28,NA,"21",115689,"2022",NA,NA,NA
"18","FHV - Black Car",18597,NA,7941,7319,3322,13.6,4.2,13.2,4,27,NA,NA,"2022-04",Apr 2022,557910,2022-04-28,NA,"17",130179,"2022",NA,NA,NA
"19","FHV - Black Car",17453,NA,7008,6909,3191,14.3,4.1,14.3,4.1,27,NA,NA,"2022-03",Mar 2022,541043,2022-03-28,NA,"13",122171,"2022",NA,NA,NA
"20","FHV - Black Car",17521,NA,7336,7265,3208,12.4,4.1,12.4,4.1,26,NA,NA,"2022-02",Feb 2022,490588,2022-02-28,NA,"09",122647,"2022",NA,NA,NA
"21","FHV - Black Car",13440,NA,7171,7136,2625,11.4,3.9,11.5,3.9,24,NA,NA,"2022-01",Jan 2022,416640,2022-01-28,NA,"04",94080,"2022",NA,NA,NA
